family,name,source,n,m,n_equalities,nnz_Q,nnz_G,protocol,formulation,note
MPC,MPC_014_LIPMWALK13,LIPMWALK13,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_015_LIPMWALK14,LIPMWALK14,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_016_LIPMWALK15,LIPMWALK15,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_017_LIPMWALK16,LIPMWALK16,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_018_LIPMWALK17,LIPMWALK17,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_019_LIPMWALK18,LIPMWALK18,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_020_LIPMWALK19,LIPMWALK19,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_021_LIPMWALK20,LIPMWALK20,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_022_LIPMWALK21,LIPMWALK21,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_023_LIPMWALK22,LIPMWALK22,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_024_LIPMWALK23,LIPMWALK23,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_025_LIPMWALK24,LIPMWALK24,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_026_LIPMWALK25,LIPMWALK25,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_027_LIPMWALK26,LIPMWALK26,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_028_LIPMWALK27,LIPMWALK27,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_029_LIPMWALK28,LIPMWALK28,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_030_LIPMWALK29,LIPMWALK29,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_031_QUADCMPC1,QUADCMPC1,768,896,384,320,3502,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_032_QUADCMPC2,QUADCMPC2,576,672,288,240,2622,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_033_QUADCMPC3,QUADCMPC3,384,448,192,160,1742,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_034_QUADCMPC4,QUADCMPC4,384,448,192,160,1742,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_035_WHLIPBAL0,WHLIPBAL0,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_036_WHLIPBAL1,WHLIPBAL1,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_037_WHLIPBAL2,WHLIPBAL2,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_038_WHLIPBAL3,WHLIPBAL3,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_039_WHLIPBAL4,WHLIPBAL4,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_040_WHLIPBAL5,WHLIPBAL5,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_041_WHLIPBAL6,WHLIPBAL6,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_042_WHLIPBAL7,WHLIPBAL7,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_043_WHLIPBAL8,WHLIPBAL8,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_044_WHLIPBAL9,WHLIPBAL9,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_045_WHLIPBAL10,WHLIPBAL10,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_046_WHLIPBAL11,WHLIPBAL11,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_047_WHLIPBAL12,WHLIPBAL12,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_048_WHLIPBAL13,WHLIPBAL13,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_049_WHLIPBAL14,WHLIPBAL14,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_050_WHLIPBAL15,WHLIPBAL15,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_051_WHLIPBAL16,WHLIPBAL16,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_052_WHLIPBAL17,WHLIPBAL17,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_053_WHLIPBAL18,WHLIPBAL18,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_054_WHLIPBAL19,WHLIPBAL19,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_055_WHLIPBAL20,WHLIPBAL20,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_056_WHLIPBAL21,WHLIPBAL21,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_057_WHLIPBAL22,WHLIPBAL22,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_058_WHLIPBAL23,WHLIPBAL23,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_059_WHLIPBAL24,WHLIPBAL24,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_060_WHLIPBAL25,WHLIPBAL25,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_061_WHLIPBAL26,WHLIPBAL26,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_062_WHLIPBAL27,WHLIPBAL27,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_063_WHLIPBAL28,WHLIPBAL28,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_064_WHLIPBAL29,WHLIPBAL29,50,100,0,2500,100,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_001_AUG2D,AUG2D,20200,10000,10000,19800,40000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_002_AUG2DC,AUG2DC,20200,10000,10000,20200,40000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_003_AUG2DCQP,AUG2DCQP,20200,10000,10000,20200,40000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_004_AUG2DQP,AUG2DQP,20200,10000,10000,19800,40000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_005_AUG3D,AUG3D,3873,1000,1000,2673,6546,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_006_AUG3DC,AUG3DC,3873,1000,1000,3873,6546,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_007_AUG3DCQP,AUG3DCQP,3873,1000,1000,3873,6546,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_008_AUG3DQP,AUG3DQP,3873,1000,1000,2673,6546,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_009_BOYD1,BOYD1,93261,18,18,93261,558985,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_010_BOYD2,BOYD2,93263,186531,9,2,423784,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_011_CONT-050,CONT-050,2597,2401,2401,2597,12005,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_012_CONT-100,CONT-100,10197,9801,9801,10197,49005,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_013_CONT-101,CONT-101,10197,10098,10098,2700,49599,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_014_CONT-200,CONT-200,40397,39601,39601,40397,198005,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_015_CONT-201,CONT-201,40397,40198,40198,10400,199199,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_016_CONT-300,CONT-300,90597,90298,90298,23100,448799,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_017_CVXQP1_L,CVXQP1_L,10000,5000,5000,69968,14998,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_018_CVXQP1_M,CVXQP1_M,1000,500,500,6968,1498,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_019_CVXQP1_S,CVXQP1_S,100,50,50,672,148,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_020_CVXQP2_L,CVXQP2_L,10000,2500,2500,69968,7499,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_021_CVXQP2_M,CVXQP2_M,1000,250,250,6968,749,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_022_CVXQP2_S,CVXQP2_S,100,25,25,672,74,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_023_CVXQP3_L,CVXQP3_L,10000,7500,7500,69968,22497,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_024_CVXQP3_M,CVXQP3_M,1000,750,750,6968,2247,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_025_CVXQP3_S,CVXQP3_S,100,75,75,672,222,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_026_DPKLO1,DPKLO1,133,77,77,77,1575,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_027_DTOC3,DTOC3,14999,9998,9998,14997,34993,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_028_DUAL1,DUAL1,85,1,1,7031,85,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_029_DUAL2,DUAL2,96,1,1,8920,96,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_030_DUAL3,DUAL3,111,1,1,12105,111,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_031_DUAL4,DUAL4,75,1,1,5523,75,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_032_DUALC1,DUALC1,9,215,1,81,1935,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_033_DUALC2,DUALC2,7,229,1,49,1603,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_034_DUALC5,DUALC5,8,278,1,64,2224,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_035_DUALC8,DUALC8,8,503,1,64,4024,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_036_EXDATA,EXDATA,3000,3001,1,2250000,7500,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_037_GENHS28,GENHS28,10,8,8,28,24,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_038_GOULDQP2,GOULDQP2,699,349,349,1045,1047,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_039_GOULDQP3,GOULDQP3,699,349,349,2092,1047,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_040_HS118,HS118,15,17,0,15,39,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_041_HS21,HS21,2,1,0,2,2,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_042_HS268,HS268,5,5,0,25,25,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_043_HS35,HS35,3,1,0,7,3,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_044_HS35MOD,HS35MOD,3,1,0,7,3,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_045_HS51,HS51,5,3,3,9,7,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_046_HS52,HS52,5,3,3,9,7,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_047_HS53,HS53,5,3,3,9,7,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_048_HS76,HS76,4,3,0,8,10,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_049_HUES-MOD,HUES-MOD,10000,2,2,10000,19968,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_050_HUESTIS,HUESTIS,10000,2,2,10000,19968,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_051_KSIP,KSIP,20,1001,0,20,18851,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_052_LASER,LASER,1002,1000,0,5430,3000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_053_LISWET1,LISWET1,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_054_LISWET10,LISWET10,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_055_LISWET11,LISWET11,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_056_LISWET12,LISWET12,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_057_LISWET2,LISWET2,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_058_LISWET3,LISWET3,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_059_LISWET4,LISWET4,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_060_LISWET5,LISWET5,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_061_LISWET6,LISWET6,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_062_LISWET7,LISWET7,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_063_LISWET8,LISWET8,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_064_LISWET9,LISWET9,10002,10000,0,10002,30000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_065_LOTSCHD,LOTSCHD,12,7,7,6,54,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_066_MOSARQP1,MOSARQP1,2500,700,0,2590,3422,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_067_MOSARQP2,MOSARQP2,900,600,0,990,2930,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_068_POWELL20,POWELL20,10000,10000,0,10000,20000,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_069_PRIMAL1,PRIMAL1,325,85,0,324,5815,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_070_PRIMAL2,PRIMAL2,649,96,0,648,8042,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_071_PRIMAL3,PRIMAL3,745,111,0,744,21547,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_072_PRIMAL4,PRIMAL4,1489,75,0,1488,16031,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_073_PRIMALC1,PRIMALC1,230,9,0,229,2070,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_074_PRIMALC2,PRIMALC2,231,7,0,230,1617,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_075_PRIMALC5,PRIMALC5,287,8,0,286,2296,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_076_PRIMALC8,PRIMALC8,520,8,0,519,4160,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_077_Q25FV47,Q25FV47,1571,820,515,118552,10400,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_078_QADLITTL,QADLITTL,97,56,15,157,383,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_079_QAFIRO,QAFIRO,32,27,8,9,83,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_080_QBANDM,QBANDM,472,305,305,57,2494,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_081_QBEACONF,QBEACONF,262,173,140,36,3375,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_082_QBORE3D,QBORE3D,315,233,214,128,1429,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_083_QBRANDY,QBRANDY,249,220,166,114,2148,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_084_QCAPRI,QCAPRI,353,271,142,1732,1767,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_085_QE226,QE226,282,223,33,1861,2578,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_086_QETAMACR,QETAMACR,688,400,272,8516,2409,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_087_QFFFFF80,QFFFFF80,854,524,350,3554,6227,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_088_QFORPLAN,QFORPLAN,421,161,90,1128,4563,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_089_QGFRDXPN,QGFRDXPN,1092,616,548,270,2377,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_090_QGROW15,QGROW15,645,300,300,962,5620,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_091_QGROW22,QGROW22,946,440,440,1639,8252,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MM,MM_092_QGROW7,QGROW7,301,140,140,684,2612,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
